sample_id,herb_name,timestamp,quality_level,temperature_c,humidity_percent,ph_value,tds_ppm,uv_intensity,moisture_percent,color_r,color_g,color_b,SS_voltage,Cu_voltage,Zn_voltage,Ag_voltage,Pt_voltage
RAW-00539,Amla Fruit,2025-08-04T14:46:16,high,27.35,79.2,8.26,891.0,1.26,16.0,215,151,84,1.776,1.489,2.264,2.586,2.327
RAW-00540,Turmeric Powder,2025-08-13T13:33:23,high,27.95,78.2,7.04,1362.3,3.52,15.6,208,242,147,1.599,1.319,1.81,2.141,1.951
RAW-00541,Ashwagandha Root,2025-06-06T11:39:00,medium,28.04,68.3,5.07,695.8,1.84,17.4,104,149,70,1.972,1.598,2.255,2.6,2.351
RAW-00542,Arjuna Bark,2025-07-05T11:07:49,high,22.92,54.0,5.61,311.4,4.52,12.5,90,74,175,2.083,1.863,2.31,2.651,2.555
RAW-00543,Triphala Powder,2025-08-23T11:17:03,medium,30.13,80.3,4.78,657.7,2.96,12.2,215,167,211,1.844,1.587,2.029,2.456,2.279
RAW-00544,Pudina Leaves,2025-09-16T09:21:28,low,31.79,81.4,4.62,1167.6,0.64,10.4,124,63,252,1.17,0.991,1.469,1.638,1.367
RAW-00545,Amla Fruit,2025-07-31T08:13:24,high,27.54,57.6,7.44,528.9,0.72,17.1,196,254,117,1.844,1.497,2.276,2.545,2.277
RAW-00546,Dhania Seeds,2025-06-25T13:50:56,high,20.94,48.5,5.12,1164.9,3.62,10.7,70,175,173,1.191,0.969,1.579,1.94,1.751
RAW-00547,Ashwagandha Root,2025-06-22T16:24:02,medium,25.37,66.6,7.94,191.5,1.28,16.1,174,93,111,1.786,1.437,1.913,2.321,2.2
RAW-00548,Ashwagandha Root,2025-06-09T14:25:23,high,29.34,83.1,5.95,270.3,1.7,18.7,126,142,230,2.137,1.672,2.45,2.864,2.543
RAW-00549,Tulsi Leaves,2025-09-06T09:08:25,medium,24.8,61.3,7.1,566.4,4.82,24.0,144,156,220,1.218,0.816,1.372,1.929,1.628
RAW-00550,Methi Seeds,2025-07-28T08:20:22,high,20.25,66.9,5.89,679.8,1.74,15.0,193,212,160,1.969,1.556,2.164,2.434,2.192
RAW-00551,Amla Fruit,2025-09-14T08:03:48,medium,24.05,59.2,5.85,538.8,0.25,12.3,191,224,152,1.521,1.223,1.928,2.179,1.927
RAW-00552,Amla Fruit,2025-07-12T10:18:01,high,31.82,78.0,5.56,1102.3,1.15,21.7,153,78,97,1.71,1.424,2.142,2.43,2.349
RAW-00553,Ajwain Seeds,2025-09-25T16:32:09,high,20.02,67.1,5.64,387.9,2.05,21.8,180,199,204,1.79,1.477,2.109,2.429,2.221
RAW-00554,Giloy Stems,2025-07-03T09:10:45,high,23.61,64.3,5.92,517.1,3.46,13.2,254,88,165,1.547,1.346,1.876,2.374,2.136
RAW-00555,Shankhpushpi,2025-07-29T15:03:35,high,18.48,58.0,8.34,1426.5,0.15,13.0,233,59,217,1.301,1.045,1.55,1.873,1.77
RAW-00556,Dhania Seeds,2025-09-26T08:05:38,high,28.86,69.5,4.78,787.4,0.5,21.0,141,108,62,1.351,0.891,1.581,1.937,1.696
RAW-00557,Tejpatta Leaves,2025-07-20T15:56:49,high,18.81,79.2,8.34,1048.2,1.89,24.1,187,162,142,1.832,1.496,2.092,2.27,2.178
RAW-00558,Methi Seeds,2025-06-12T08:22:10,medium,29.87,66.4,5.02,1206.5,3.58,17.9,135,119,96,1.666,1.459,1.87,2.116,1.879
RAW-00559,Hing Powder,2025-07-18T16:19:36,high,20.36,60.8,7.57,1411.3,2.19,21.6,92,66,117,2.46,2.186,2.87,3.079,2.932
RAW-00560,Ajwain Seeds,2025-06-07T12:59:05,high,19.4,64.3,4.7,774.3,1.34,23.7,210,138,126,1.85,1.522,2.209,2.458,2.276
RAW-00561,Curry Leaves,2025-07-06T08:20:33,high,29.22,55.6,5.34,1186.7,3.46,20.2,216,198,232,1.573,1.342,1.867,2.245,2.009
RAW-00562,Pudina Leaves,2025-09-22T13:40:28,high,30.37,49.3,6.21,723.8,4.89,20.2,63,144,221,1.594,1.441,1.97,2.278,2.1
RAW-00563,Jeera Seeds,2025-07-12T08:22:54,high,23.53,84.3,5.48,595.7,1.58,11.6,249,105,67,1.333,1.085,1.732,2.015,1.791
RAW-00564,Shatavari Root,2025-09-24T11:30:29,low,20.27,84.4,6.36,916.2,0.89,14.3,233,84,215,0.815,0.604,1.007,1.17,1.018
RAW-00565,Arjuna Bark,2025-08-06T09:11:23,high,25.7,48.1,8.27,194.1,4.29,10.0,185,165,110,2.125,1.827,2.307,2.78,2.5
RAW-00566,Ashwagandha Root,2025-06-20T17:33:42,medium,22.76,62.1,6.11,1083.4,4.6,20.0,63,208,206,1.794,1.696,2.163,2.502,2.364
RAW-00567,Neem Leaves,2025-06-09T11:34:57,low,27.2,74.8,6.32,171.0,3.88,10.7,176,79,73,1.54,1.357,1.803,2.187,2.026
RAW-00568,Ajwain Seeds,2025-06-03T17:35:47,high,21.99,82.4,7.26,370.0,3.11,23.1,239,164,98,1.836,1.436,2.07,2.406,2.15
RAW-00569,Triphala Powder,2025-06-29T08:09:40,medium,18.91,52.7,4.77,1308.6,3.98,18.6,54,172,213,1.549,1.492,1.843,2.239,2.137
RAW-00570,Kalonji Seeds,2025-07-06T12:38:05,high,23.12,46.8,6.86,1096.8,3.89,12.2,235,254,127,1.895,1.635,2.173,2.6,2.365
RAW-00571,Curry Leaves,2025-08-05T14:40:55,medium,30.7,79.9,6.33,286.7,4.17,14.9,123,193,229,1.415,1.226,1.744,2.019,1.809
RAW-00572,Ginger Root,2025-09-13T11:16:18,high,30.47,46.6,4.79,521.3,1.24,14.0,195,107,209,1.351,1.066,1.575,1.96,1.806
RAW-00573,Hing Powder,2025-07-18T09:06:00,low,31.76,46.7,8.46,119.2,1.51,17.4,139,116,194,1.551,1.364,1.737,1.946,1.895
RAW-00574,Methi Seeds,2025-08-04T09:40:52,high,19.62,58.4,5.78,269.2,4.07,21.4,243,117,163,1.754,1.569,2.112,2.306,2.213
RAW-00575,Amla Fruit,2025-08-28T17:44:46,low,18.92,69.6,7.9,561.7,1.28,24.3,110,126,209,1.357,1.186,1.788,1.897,1.859
RAW-00576,Turmeric Powder,2025-08-02T14:21:20,high,24.61,46.2,8.4,372.0,2.42,10.9,71,251,143,1.575,1.222,1.953,2.265,1.964
RAW-00577,Dhania Seeds,2025-07-16T16:57:54,high,20.94,79.6,6.17,1138.0,2.79,15.7,184,67,119,1.182,0.879,1.403,1.739,1.499
RAW-00578,Shankhpushpi,2025-09-11T09:50:40,low,31.83,59.4,7.78,595.3,4.22,24.5,227,110,90,0.944,0.735,1.086,1.346,1.144
RAW-00579,Ashwagandha Root,2025-09-07T09:05:30,high,27.04,82.8,5.63,913.2,3.48,15.9,204,132,234,2.191,1.761,2.432,2.841,2.692
RAW-00580,Ajwain Seeds,2025-07-29T11:02:15,high,24.54,63.8,6.02,1397.2,1.32,14.7,113,237,106,1.829,1.498,2.054,2.444,2.229
RAW-00581,Ginger Root,2025-08-09T10:51:55,high,23.76,58.9,6.28,67.6,0.75,22.7,207,58,170,1.454,1.191,1.683,2.072,1.899
RAW-00582,Curry Leaves,2025-08-25T09:40:17,medium,29.68,64.0,8.45,687.4,3.28,10.8,70,121,178,1.431,1.223,1.6,1.978,1.716
RAW-00583,Dhania Seeds,2025-06-13T16:27:05,low,27.47,81.0,7.6,832.6,0.83,15.2,252,174,184,0.871,0.622,1.025,1.267,1.079
RAW-00584,Jeera Seeds,2025-08-11T13:51:56,high,26.64,68.0,5.22,677.3,1.78,24.3,75,52,51,1.45,1.127,1.717,2.042,1.855
RAW-00585,Tejpatta Leaves,2025-06-22T14:03:48,low,28.25,59.5,7.27,70.8,1.69,14.8,122,228,250,1.418,1.138,1.686,1.87,1.729
RAW-00586,Curry Leaves,2025-07-02T11:30:16,high,30.38,67.1,6.97,1366.1,3.61,20.4,151,51,217,1.642,1.46,1.937,2.363,2.117
RAW-00587,Dhania Seeds,2025-07-19T17:33:10,high,22.11,51.0,5.97,652.0,3.18,23.7,111,132,162,1.186,0.87,1.539,1.817,1.552
RAW-00588,Turmeric Powder,2025-09-02T12:23:20,high,30.97,49.1,6.9,488.2,4.46,21.5,177,114,113,1.526,1.273,1.929,2.255,1.986
RAW-00589,Hing Powder,2025-08-02T09:16:06,high,18.24,60.6,7.12,418.8,2.22,10.9,133,121,228,2.314,2.078,2.677,2.973,2.719
RAW-00590,Arjuna Bark,2025-08-01T17:36:29,high,26.26,50.5,7.88,739.0,0.9,11.8,233,143,198,2.129,1.866,2.481,2.958,2.682
RAW-00591,Shatavari Root,2025-07-25T17:21:45,high,26.56,74.1,5.88,1021.4,1.36,13.7,199,80,149,1.135,0.912,1.469,1.708,1.583
RAW-00592,Kalonji Seeds,2025-08-06T08:26:42,high,30.23,58.1,5.01,149.2,2.29,12.5,68,124,179,2.121,1.759,2.375,2.65,2.436
RAW-00593,Ajwain Seeds,2025-08-03T11:04:14,high,28.76,51.7,4.57,1272.8,2.93,23.4,183,157,100,1.731,1.571,2.068,2.375,2.241
RAW-00594,Dalchini Bark,2025-07-22T11:09:25,high,30.41,57.1,7.36,937.5,2.19,13.6,133,197,188,1.483,1.124,1.723,2.007,1.807
RAW-00595,Giloy Stems,2025-09-16T09:38:43,high,24.15,72.2,4.93,1443.9,3.78,19.5,169,84,59,1.573,1.347,1.913,2.257,2.082
RAW-00596,Elaichi Seeds,2025-09-14T14:06:17,low,31.26,58.4,7.06,823.9,4.1,19.4,148,254,188,0.997,0.72,1.123,1.291,1.204
RAW-00597,Mulethi Root,2025-09-14T13:00:45,medium,26.47,48.9,6.37,682.5,4.28,19.4,230,156,237,0.567,0.36,0.704,0.944,0.829
RAW-00598,Arjuna Bark,2025-08-24T16:27:15,low,24.56,61.6,6.81,423.0,1.83,13.2,203,188,229,1.671,1.427,1.908,2.246,2.026
RAW-00599,Tejpatta Leaves,2025-08-24T14:50:02,low,29.52,70.9,5.66,1275.7,2.52,17.5,234,231,93,1.24,1.089,1.415,1.611,1.559
RAW-00600,Honey,2025-06-16T12:15:16,high,26.79,81.0,7.37,555.4,2.98,14.7,63,130,253,0.363,0.24,0.277,0.473,0.587
RAW-00601,Jeera Seeds,2025-07-02T14:37:33,high,20.45,76.3,7.16,1040.7,2.46,20.0,114,174,63,1.514,1.208,1.789,2.156,2.011
RAW-00602,Dhania Seeds,2025-09-08T16:02:04,high,23.72,72.7,7.88,567.0,1.24,19.4,237,142,54,1.152,0.837,1.52,1.776,1.603
RAW-00603,Curry Leaves,2025-08-01T16:59:33,medium,30.28,77.3,5.49,590.5,3.75,17.3,222,72,150,1.462,1.286,1.814,2.1,1.909
RAW-00604,Pudina Leaves,2025-08-02T10:40:46,high,25.69,60.4,7.09,1367.0,2.14,14.7,156,180,72,1.727,1.374,1.92,2.345,2.182
RAW-00605,Ashwagandha Root,2025-06-26T09:59:45,high,29.08,80.3,8.37,686.7,4.76,20.8,163,247,236,2.066,1.914,2.378,2.897,2.672
RAW-00606,Hing Powder,2025-07-28T13:28:36,high,28.83,47.7,8.13,458.4,4.5,21.6,181,90,250,2.454,2.148,2.572,3.055,2.832
RAW-00607,Tulsi Leaves,2025-06-28T12:46:59,high,23.9,80.7,4.97,1077.6,1.81,11.5,151,214,113,1.255,0.745,1.511,2.125,1.812
RAW-00608,Brahmi Leaves,2025-06-18T15:48:55,high,25.06,77.5,7.48,906.9,2.74,16.4,115,136,175,1.491,1.305,1.819,2.3,1.996
RAW-00609,Shatavari Root,2025-08-10T17:04:46,medium,18.87,80.9,4.65,1431.5,3.36,24.1,236,145,145,1.029,0.743,1.342,1.558,1.481
RAW-00610,Shatavari Root,2025-09-18T09:38:04,high,20.29,46.6,5.17,707.3,1.31,13.9,211,76,214,1.021,0.729,1.366,1.586,1.396
RAW-00611,Ginger Root,2025-08-07T09:22:43,medium,24.96,72.9,6.84,700.4,1.19,14.6,109,73,71,1.303,0.988,1.628,1.843,1.721
RAW-00612,Turmeric Powder,2025-09-03T10:50:20,medium,29.35,58.2,5.19,353.3,3.13,13.7,84,229,163,1.462,1.315,1.731,1.987,1.757
RAW-00613,Shatavari Root,2025-09-21T15:09:22,high,28.47,79.8,6.05,1002.7,3.81,12.9,119,231,146,0.996,0.731,1.358,1.736,1.549
RAW-00614,Dhania Seeds,2025-07-23T11:04:04,high,28.64,53.3,7.28,312.8,0.55,13.8,157,163,90,1.177,0.877,1.491,1.874,1.577
RAW-00615,Arjuna Bark,2025-06-30T16:51:31,medium,29.5,66.6,5.72,684.1,0.42,24.2,251,254,97,1.896,1.468,1.979,2.473,2.25
RAW-00616,Dhania Seeds,2025-09-01T16:03:45,medium,21.55,69.6,6.32,106.3,0.27,11.4,219,100,73,1.088,0.72,1.299,1.685,1.398
RAW-00617,Giloy Stems,2025-07-13T16:18:19,high,20.9,82.6,7.29,123.7,1.54,10.8,76,151,212,1.537,1.256,1.914,2.251,2.048
RAW-00618,Elaichi Seeds,2025-07-30T13:31:15,medium,31.51,70.1,5.11,300.1,2.89,15.3,150,120,120,1.096,0.728,1.329,1.545,1.351
RAW-00619,Ginger Root,2025-09-05T14:06:05,high,24.64,47.8,4.71,474.7,1.55,11.8,65,183,127,1.488,1.047,1.619,1.969,1.825
RAW-00620,Dhania Seeds,2025-06-02T16:30:49,high,27.72,60.3,5.03,1300.0,3.11,15.3,205,93,130,1.18,0.795,1.442,1.845,1.628
RAW-00621,Hing Powder,2025-06-30T09:07:13,high,21.54,51.2,5.33,630.4,3.73,13.8,88,86,180,2.307,2.056,2.636,2.899,2.735
RAW-00622,Mulethi Root,2025-09-27T17:21:37,high,22.09,67.1,5.78,665.1,2.51,22.8,160,210,91,0.691,0.478,0.969,1.224,1.117
RAW-00623,Methi Seeds,2025-07-16T14:44:56,high,26.53,80.0,7.77,922.3,3.79,16.5,173,64,139,1.84,1.523,2.185,2.372,2.159
RAW-00624,Triphala Powder,2025-07-12T10:21:09,high,26.59,46.2,6.52,1216.1,2.79,14.0,153,252,163,1.93,1.729,2.288,2.727,2.381
RAW-00625,Amla Fruit,2025-09-16T11:22:15,medium,20.53,66.6,6.3,718.5,2.4,23.2,150,177,97,1.522,1.328,1.99,2.231,2.108
RAW-00626,Arjuna Bark,2025-08-20T12:05:09,medium,29.41,59.4,6.42,1450.2,1.29,20.8,135,247,91,1.935,1.8,2.296,2.621,2.458
RAW-00627,Arjuna Bark,2025-09-25T08:34:19,high,27.62,66.6,6.49,143.8,0.81,23.2,125,75,225,2.099,1.854,2.344,2.786,2.646
RAW-00628,Triphala Powder,2025-06-05T17:34:26,high,28.6,66.9,5.62,1300.7,4.93,13.8,247,185,145,1.875,1.623,2.133,2.579,2.493
RAW-00629,Methi Seeds,2025-06-19T15:23:55,high,20.75,84.6,5.69,981.5,2.56,15.4,122,225,217,1.968,1.642,2.086,2.501,2.301
RAW-00630,Ajwain Seeds,2025-08-24T13:46:18,high,25.01,58.2,8.49,565.7,2.2,22.1,106,89,101,1.773,1.482,2.021,2.409,2.101
RAW-00631,Tejpatta Leaves,2025-06-08T14:59:35,high,19.96,61.0,4.8,840.6,3.38,24.1,54,190,98,1.732,1.359,1.981,2.262,2.2
RAW-00632,Neem Leaves,2025-06-14T17:17:19,medium,29.9,82.9,5.94,802.0,3.92,18.4,220,209,190,1.898,1.751,2.241,2.534,2.271
RAW-00633,Tejpatta Leaves,2025-09-24T08:04:48,medium,28.21,69.1,7.15,1353.3,3.94,21.7,132,73,181,1.568,1.368,1.814,2.126,1.98
RAW-00634,Kalonji Seeds,2025-06-01T11:50:34,high,31.26,79.9,5.5,1294.4,2.54,18.9,82,181,203,1.97,1.658,2.169,2.518,2.322
RAW-00635,Honey,2025-09-09T13:35:37,low,29.63,54.5,5.38,932.9,4.11,13.7,247,251,55,0.269,0.162,0.217,0.439,0.404
RAW-00636,Tejpatta Leaves,2025-09-20T16:43:43,low,25.32,58.8,4.92,1439.5,4.29,11.2,173,76,97,1.393,1.101,1.55,1.704,1.597
RAW-00637,Hing Powder,2025-06-27T12:06:47,high,20.12,75.5,7.22,837.3,4.07,19.7,229,129,141,2.25,2.041,2.552,2.854,2.7
RAW-00638,Honey,2025-06-03T09:05:42,medium,23.04,47.5,6.9,231.0,4.0,19.6,208,61,235,0.335,0.201,0.328,0.473,0.572
RAW-00639,Methi Seeds,2025-06-10T13:06:52,high,30.61,57.3,5.25,1265.9,3.73,24.0,141,87,169,1.846,1.542,2.055,2.263,2.042
RAW-00640,Ginger Root,2025-08-14T08:52:46,medium,31.24,74.1,7.4,441.7,2.76,24.9,54,246,247,1.184,0.906,1.48,1.856,1.721
RAW-00641,Arjuna Bark,2025-07-23T08:58:08,high,26.61,54.2,6.72,1221.4,1.36,18.7,214,62,74,2.213,1.807,2.473,2.913,2.619
RAW-00642,Honey,2025-06-01T08:57:34,high,26.55,57.7,7.59,1458.6,4.72,14.0,95,243,155,0.376,0.161,0.27,0.379,0.519
RAW-00643,Arjuna Bark,2025-07-28T17:44:32,medium,30.67,83.1,5.96,595.5,3.74,16.8,190,75,191,2.05,1.752,2.355,2.575,2.345
RAW-00644,Neem Leaves,2025-07-08T14:56:21,low,24.56,77.4,8.19,393.5,2.74,12.4,138,71,229,1.645,1.331,1.98,2.234,2.044
RAW-00645,Honey,2025-06-23T17:50:26,high,23.87,56.6,7.73,748.1,3.31,12.8,129,77,247,0.412,0.177,0.314,0.512,0.543
RAW-00646,Dalchini Bark,2025-06-11T17:22:29,high,19.23,58.5,6.09,1369.1,4.78,11.8,118,135,120,1.466,1.176,1.702,2.13,1.905
RAW-00647,Ajwain Seeds,2025-07-22T14:20:05,low,25.39,46.2,4.73,1028.8,3.86,20.7,118,244,209,1.294,0.996,1.41,1.707,1.482
RAW-00648,Ginger Root,2025-09-14T12:10:37,high,19.61,57.7,4.62,443.4,1.17,10.7,241,213,53,1.444,1.177,1.785,2.072,1.992
RAW-00649,Dalchini Bark,2025-06-25T16:25:27,high,28.34,64.2,6.31,1284.6,3.57,10.5,160,170,65,1.37,1.109,1.676,2.072,1.798
RAW-00650,Brahmi Leaves,2025-08-14T17:33:51,high,23.58,64.8,7.02,782.1,2.73,10.4,143,162,184,1.49,1.156,1.737,2.112,1.867
RAW-00651,Methi Seeds,2025-07-24T16:58:23,medium,27.81,74.5,7.15,843.3,4.42,16.7,177,239,153,1.842,1.458,1.997,2.272,2.109
RAW-00652,Honey,2025-08-07T11:43:19,high,31.97,68.4,7.5,343.9,3.37,19.7,178,242,71,0.364,0.217,0.325,0.376,0.519
RAW-00653,Elaichi Seeds,2025-08-23T10:13:08,high,19.79,59.1,6.69,822.7,0.27,24.3,138,228,218,1.264,1.108,1.712,1.987,1.752
RAW-00654,Ginger Root,2025-07-10T10:49:46,high,26.16,70.6,4.5,1470.9,2.09,17.8,56,197,182,1.394,1.076,1.727,2.069,1.894
RAW-00655,Ashwagandha Root,2025-09-12T08:14:34,high,26.81,71.4,7.43,1350.8,2.22,12.5,208,102,169,2.153,1.732,2.46,2.856,2.656
RAW-00656,Mulethi Root,2025-07-19T08:02:25,high,27.66,67.7,6.22,1236.3,3.99,21.0,236,87,67,0.653,0.411,0.923,1.144,0.96
RAW-00657,Shatavari Root,2025-08-30T08:14:46,high,19.56,63.4,7.14,564.6,1.04,22.3,125,133,125,1.152,0.949,1.415,1.766,1.52
RAW-00658,Dalchini Bark,2025-07-20T11:09:17,high,28.84,76.4,5.41,329.2,2.99,21.1,200,53,180,1.366,1.101,1.59,2.012,1.79
RAW-00659,Neem Leaves,2025-09-04T11:00:11,medium,20.03,57.3,7.56,493.4,2.1,14.5,138,144,118,2.066,1.745,2.484,2.729,2.616
RAW-00660,Tulsi Leaves,2025-06-11T15:19:33,medium,19.23,64.0,7.93,850.4,0.33,24.6,199,117,66,1.145,0.703,1.277,1.818,1.554
RAW-00661,Turmeric Powder,2025-07-27T15:30:39,low,23.09,79.4,6.37,359.5,4.68,21.9,111,125,172,1.188,0.993,1.33,1.637,1.55
RAW-00662,Shankhpushpi,2025-09-10T10:36:45,high,28.75,53.3,6.04,838.8,3.1,17.0,208,226,58,1.263,0.92,1.479,1.829,1.723
RAW-00663,Kalonji Seeds,2025-09-13T16:42:43,low,18.56,49.5,7.51,1087.9,0.85,10.9,162,149,219,1.398,1.32,1.732,1.948,1.758
RAW-00664,Dhania Seeds,2025-09-24T16:02:46,medium,22.37,81.9,6.65,1059.5,0.51,10.6,161,178,165,1.19,0.793,1.417,1.594,1.425
RAW-00665,Elaichi Seeds,2025-09-06T15:05:27,high,31.48,67.9,4.84,916.2,3.46,13.3,144,196,78,1.332,1.01,1.612,2.012,1.745
RAW-00666,Giloy Stems,2025-07-22T08:08:20,high,20.2,67.4,7.15,140.5,4.37,12.8,72,249,68,1.618,1.361,1.797,2.241,2.095
RAW-00667,Kalonji Seeds,2025-07-20T17:57:27,high,27.84,84.8,7.14,1201.4,0.24,22.2,86,222,94,2.087,1.827,2.442,2.7,2.574
RAW-00668,Ajwain Seeds,2025-07-16T12:44:31,high,23.67,84.3,5.13,1023.6,1.26,17.5,96,111,227,1.779,1.528,2.102,2.416,2.252
RAW-00669,Amla Fruit,2025-08-23T17:21:44,high,22.63,73.5,6.54,282.5,4.48,14.4,191,195,177,1.789,1.526,2.295,2.601,2.366
RAW-00670,Dhania Seeds,2025-09-05T09:55:43,medium,31.4,54.8,8.12,1102.4,3.73,21.5,90,97,140,1.132,0.825,1.409,1.665,1.506
RAW-00671,Brahmi Leaves,2025-06-04T15:33:38,low,21.75,60.2,5.92,137.6,2.39,24.9,193,248,96,1.225,0.911,1.537,1.645,1.503
RAW-00672,Elaichi Seeds,2025-08-15T15:24:43,high,27.39,56.1,5.52,723.0,3.69,11.4,155,135,177,1.269,1.01,1.589,1.931,1.747
RAW-00673,Dhania Seeds,2025-09-08T14:56:56,high,18.4,47.6,6.03,1137.1,4.57,10.4,217,52,131,1.197,0.854,1.443,1.807,1.582
RAW-00674,Pudina Leaves,2025-08-04T13:12:28,medium,26.02,51.5,7.61,1298.0,4.46,14.6,175,183,190,1.4,1.146,1.493,1.783,1.704
RAW-00675,Honey,2025-08-14T14:44:44,low,30.07,58.2,5.54,1127.8,1.86,22.7,141,203,212,0.33,0.1,0.19,0.41,0.464
RAW-00676,Ginger Root,2025-08-10T16:40:30,high,30.99,65.0,8.06,708.4,1.46,23.7,186,211,147,1.488,1.078,1.796,1.978,1.886
RAW-00677,Turmeric Powder,2025-09-24T11:16:19,high,21.74,83.0,5.24,1075.2,0.31,13.0,216,103,175,1.686,1.249,1.946,2.288,2.105
RAW-00678,Giloy Stems,2025-07-18T11:42:13,high,30.37,48.7,6.67,178.8,2.4,11.9,67,195,174,1.665,1.382,1.931,2.438,2.134
RAW-00679,Hing Powder,2025-09-04T17:07:50,medium,19.49,83.2,5.61,693.7,4.5,20.2,142,191,58,2.213,2.039,2.55,2.835,2.576
RAW-00680,Tulsi Leaves,2025-07-19T17:16:40,medium,31.75,72.4,8.4,133.2,0.78,16.8,242,209,188,1.025,0.725,1.245,1.818,1.604
RAW-00681,Giloy Stems,2025-06-19T10:35:33,high,22.34,51.5,6.94,1016.1,3.38,13.3,56,95,238,1.508,1.295,1.838,2.094,1.95
RAW-00682,Kalonji Seeds,2025-09-14T15:23:13,high,30.91,64.2,4.56,686.3,4.12,21.7,91,222,216,1.945,1.654,2.162,2.59,2.447
RAW-00683,Dhania Seeds,2025-09-26T08:21:10,high,26.64,61.5,8.19,774.4,3.57,13.3,248,183,67,1.261,0.96,1.48,1.779,1.65
RAW-00684,Kalonji Seeds,2025-07-21T09:02:45,high,25.27,50.4,6.57,121.7,4.42,15.1,137,252,153,2.013,1.77,2.386,2.658,2.455
RAW-00685,Giloy Stems,2025-09-12T13:14:14,high,22.9,57.8,5.49,643.1,3.33,13.3,136,62,56,1.621,1.341,1.926,2.302,2.227
RAW-00686,Shankhpushpi,2025-07-19T15:49:46,high,28.57,73.9,6.01,162.3,0.16,14.3,67,76,73,1.264,0.924,1.483,1.82,1.688
RAW-00687,Kalonji Seeds,2025-09-20T09:58:47,low,25.92,82.0,4.6,1076.9,1.72,12.7,209,93,104,1.468,1.273,1.601,1.903,1.671
RAW-00688,Kalonji Seeds,2025-09-21T12:13:36,high,20.64,47.7,5.25,645.3,0.68,12.5,115,185,192,1.948,1.74,2.334,2.661,2.45
RAW-00689,Tulsi Leaves,2025-08-19T08:58:09,high,30.56,53.0,5.73,464.4,1.59,20.0,132,96,173,1.178,0.761,1.442,2.032,1.682
RAW-00690,Turmeric Powder,2025-06-20T09:53:11,high,21.86,52.2,6.73,1272.0,0.85,10.5,206,227,99,1.655,1.215,1.934,2.113,2.026
RAW-00691,Dhania Seeds,2025-08-12T08:03:57,high,18.15,84.3,6.47,1410.8,2.79,19.1,230,111,97,1.186,0.82,1.537,1.863,1.671
RAW-00692,Curry Leaves,2025-06-15T08:22:42,high,31.3,46.9,7.67,1063.7,1.38,20.9,225,214,252,1.748,1.391,2.035,2.294,2.11
RAW-00693,Tejpatta Leaves,2025-08-16T15:06:42,high,24.47,67.6,7.5,149.2,4.29,22.0,205,79,204,1.82,1.585,2.212,2.328,2.136
RAW-00694,Amla Fruit,2025-07-09T10:38:43,high,31.47,56.8,5.16,779.4,2.52,12.6,80,129,243,1.941,1.596,2.357,2.659,2.355
RAW-00695,Tejpatta Leaves,2025-07-30T09:35:05,high,20.0,50.6,7.36,676.1,4.46,14.7,210,186,180,1.842,1.586,2.16,2.46,2.211
RAW-00696,Tulsi Leaves,2025-09-24T16:46:23,high,23.71,61.7,8.36,918.8,3.21,20.7,96,221,168,1.209,0.819,1.516,2.0,1.656
RAW-00697,Arjuna Bark,2025-06-22T16:47:29,high,30.54,68.8,7.8,840.8,1.18,15.1,203,140,201,2.318,1.995,2.655,3.0,2.805
RAW-00698,Honey,2025-09-10T17:42:57,high,21.4,65.2,7.77,600.9,0.76,16.5,80,212,158,0.48,0.162,0.236,0.45,0.471
RAW-00699,Shankhpushpi,2025-09-28T14:20:14,low,19.66,61.6,5.59,71.6,3.96,22.2,116,109,236,0.905,0.652,1.11,1.355,1.197
RAW-00700,Brahmi Leaves,2025-07-21T15:43:49,high,19.77,69.4,8.48,913.5,3.95,21.5,243,189,76,1.47,1.223,1.741,2.081,1.743
RAW-00701,Ginger Root,2025-07-31T17:57:12,high,19.92,75.9,7.92,1187.8,4.19,14.1,117,84,137,1.39,1.043,1.669,2.021,1.906
RAW-00702,Dalchini Bark,2025-07-03T17:56:06,low,29.31,71.9,4.66,558.6,3.44,18.6,186,102,254,1.156,0.865,1.303,1.59,1.404
RAW-00703,Tejpatta Leaves,2025-08-10T17:15:39,medium,18.63,56.7,7.97,542.2,0.71,19.7,148,145,83,1.557,1.303,1.669,1.942,1.755
RAW-00704,Ajwain Seeds,2025-08-08T15:26:15,high,23.01,45.0,7.72,1339.5,4.85,20.8,89,231,208,1.708,1.411,2.1,2.393,2.08
RAW-00705,Giloy Stems,2025-09-02T09:06:24,high,21.0,58.8,8.0,122.7,2.61,17.2,111,88,228,1.608,1.329,1.847,2.382,2.115
RAW-00706,Shankhpushpi,2025-06-10T11:11:07,medium,24.17,71.4,8.41,1430.1,2.04,19.2,88,75,161,1.106,0.825,1.327,1.624,1.486
RAW-00707,Ajwain Seeds,2025-08-28T10:33:46,high,28.51,65.6,4.85,1116.3,4.18,23.6,160,64,127,1.798,1.421,2.031,2.378,2.08
RAW-00708,Curry Leaves,2025-07-04T15:18:45,high,20.27,49.1,5.58,875.7,4.74,14.5,217,194,54,1.711,1.466,2.01,2.352,2.275
RAW-00709,Hing Powder,2025-06-12T12:41:59,medium,19.86,61.2,5.41,404.2,4.47,18.0,136,68,79,2.166,1.91,2.372,2.648,2.363
